"filename", "language", "JSON", "PHP", "JavaScript", "HTML", "CSS", "Markdown", "C#", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\javascript-lint.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 5, 9, 66
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\json-lint.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 6, 41
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\lint.css", "CSS", 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 12, 80
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\lint.js", "JavaScript", 0, 0, 250, 0, 0, 0, 0, 0, 0, 8, 34, 292
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\yaml-lint.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 6, 42
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\merge\merge.css", "CSS", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 16, 120
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\merge\merge.js", "JavaScript", 0, 0, 895, 0, 0, 0, 0, 0, 0, 26, 98, 1019
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\loadmode.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 2, 6, 67
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\multiplex.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 4, 17, 137
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\multiplex_test.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 2, 10, 50
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\overlay.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 12, 12, 91
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\mode\simple.js", "JavaScript", 0, 0, 197, 0, 0, 0, 0, 0, 0, 2, 18, 217
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\colorize.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 8, 41
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\runmode-standalone.js", "JavaScript", 0, 0, 274, 0, 0, 0, 0, 0, 0, 28, 33, 335
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\runmode.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 7, 6, 77
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\runmode\runmode.node.js", "JavaScript", 0, 0, 272, 0, 0, 0, 0, 0, 0, 27, 31, 330
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\annotatescrollbar.js", "JavaScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 2, 16, 129
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\scrollpastend.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 5, 49
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\simplescrollbars.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 10, 67
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\scroll\simplescrollbars.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 2, 21, 153
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\jump-to-line.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 10, 54
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\match-highlighter.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 19, 15, 168
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\matchesonscrollbar.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\matchesonscrollbar.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 0, 0, 2, 13, 98
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\search.js", "JavaScript", 0, 0, 261, 0, 0, 0, 0, 0, 0, 10, 25, 296
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\search\searchcursor.js", "JavaScript", 0, 0, 266, 0, 0, 0, 0, 0, 0, 12, 28, 306
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\selection\active-line.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 2, 7, 73
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\selection\mark-selection.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 7, 16, 120
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\selection\selection-pointer.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 2, 8, 99
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\tern\tern.css", "CSS", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 7, 88
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\tern\tern.js", "JavaScript", 0, 0, 612, 0, 0, 0, 0, 0, 0, 55, 90, 757
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\tern\worker.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 8, 45
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\wrap\hardwrap.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 5, 13, 161
